trial_idx,cue,color1_deg,color2_deg,same_color,sw_Ablated_11_vs_Student_0,sw_Ablated_11_vs_Student_1,sw_Student_0_vs_Student_1,sw_self_reference,teacher_vs_students_mean,teacher_vs_students_std
149,2,0.0,150.0,False,23.9771485575431,3495.5500761341473,3472.413797773697,0.016707900875540135,1759.763612345845,1735.7864637883022
150,2,0.0,180.0,False,21.464241694176046,3155.5613483264187,3135.0553338648706,0.050119761735749654,1588.5127950102974,1567.0485533161213
151,2,0.0,210.0,False,27.256206836462873,3257.2131573443476,3231.1547448160204,0.08778068159032637,1642.2346820904052,1614.9784752539422
152,2,0.0,240.0,False,20.282507952329503,3384.0517003170826,3364.522011165458,0.04302585173220072,1702.167104134706,1681.8845961823765
153,2,0.0,270.0,False,14.571565718421237,3505.309247552971,3491.116651843311,0.03517355645698936,1759.9404066356963,1745.3688409172748
154,2,0.0,300.0,False,10.460013122433168,3559.401513876581,3549.2906402576155,0.023074721897071118,1784.930763499507,1774.4707503770737
155,2,0.0,330.0,False,12.656419908801332,3211.1892775262045,3199.0573934274717,0.018507648768743393,1611.9228487175028,1599.2664288087017
156,2,30.0,0.0,False,15.126957996605986,3642.606025950775,3627.7049951036743,0.021004570079114777,1828.8664919736905,1813.7395339770844
157,2,30.0,30.0,True,17.85263799045337,3128.14708823069,3110.9553296425847,0.048074401070428235,1572.9998631105716,1555.1472251201183
158,2,30.0,60.0,False,22.234115292690255,3346.9572289396756,3325.271126444213,0.020211238184984093,1684.5956721161829,1662.3615568234927
159,2,30.0,90.0,False,23.031718051911806,3050.1579220238564,3028.2127348176755,0.05433787784091315,1536.5948200378841,1513.5631019859723
160,2,30.0,120.0,False,27.10927565581105,3177.1473471704417,3151.235163643146,0.015976920489163153,1602.1283114131263,1575.0190357573154
161,2,30.0,150.0,False,31.428339365002905,3595.2050366429644,3564.3828454899585,0.02387955348479308,1813.3166880039837,1781.8883486389807
162,2,30.0,180.0,False,24.372602237856945,3110.5112368636364,3087.8192456024453,0.038377217906548314,1567.4419195507467,1543.0693173128898
163,2,30.0,210.0,False,29.065077115621364,3333.696361347787,3305.8573614039988,0.12775530039626198,1681.3807192317042,1652.3156421160827
164,2,30.0,240.0,False,26.561100532614727,3392.7222081359323,3366.905146032814,0.03663433543237538,1709.6416543342734,1683.0805538016589
165,2,30.0,270.0,False,21.126777131769536,3454.7673098414302,3434.2345359394253,0.02385776289784758,1737.9470434865998,1716.8202663548302
166,2,30.0,300.0,False,17.15955843571046,3246.793501161499,3230.3982001962904,0.022471149312332142,1631.9765297986048,1614.8169713628943
167,2,30.0,330.0,False,15.308784544546153,3481.4453715751433,3466.6190500800576,0.038334632286475795,1748.3770780598447,1733.0682935152986
168,2,60.0,0.0,False,18.347768067159343,3323.9550985647093,3306.0628799088745,0.04571376205068023,1671.1514333159344,1652.803665248775
169,2,60.0,30.0,False,26.673912981752352,3513.0632118779413,3487.2130706037724,0.020969596031047234,1769.8685624298469,1743.1946494480944
170,2,60.0,60.0,True,25.16569297758513,3147.31506033308,3123.1597234709666,0.026081593138752666,1586.2403766553325,1561.0746836777475
171,2,60.0,90.0,False,34.81958548548327,3351.9348587622635,3318.097510759267,0.019266423749499207,1693.3772221238735,1658.55763663839
172,2,60.0,120.0,False,32.202734087613734,3167.342893559169,3136.6411426348586,0.028360045115066387,1599.7728138233915,1567.5700797357779
173,2,60.0,150.0,False,31.54637604784304,3344.9471170343395,3314.7521107456105,0.052423501486827534,1688.2467465410912,1656.7003704932483
174,2,60.0,180.0,False,45.03255349667498,3676.929760462905,3633.3644151807957,0.07911198099324213,1860.98115697979,1815.948603483115
175,2,60.0,210.0,False,37.51153378103622,3582.0746614404484,3545.777169215421,0.03335454440635865,1809.7930976107423,1772.281563829706
176,2,60.0,240.0,False,25.19540765303476,3027.78898464721,3003.7046168314514,0.029817241339923837,1526.4921961501223,1501.2967884970876
177,2,60.0,270.0,False,26.046245304750055,3285.4178060574936,3260.080952924582,0.02480107011623674,1655.7320256811217,1629.685780376372
178,2,60.0,300.0,False,20.615555499040227,3284.967873049304,3265.010530612443,0.03249691840370039,1652.7917142741721,1632.176158775132
