trial_idx,cue,color1_deg,color2_deg,same_color,sw_Ablated_1_vs_Student_0,sw_Ablated_1_vs_Student_1,sw_Ablated_1_vs_Student_2,sw_Ablated_1_vs_Student_3,sw_Ablated_1_vs_Student_4,sw_Ablated_1_vs_Student_5,sw_Student_0_vs_Student_1,sw_Student_0_vs_Student_2,sw_Student_0_vs_Student_3,sw_Student_0_vs_Student_4,sw_Student_0_vs_Student_5,sw_Student_1_vs_Student_2,sw_Student_1_vs_Student_3,sw_Student_1_vs_Student_4,sw_Student_1_vs_Student_5,sw_Student_2_vs_Student_3,sw_Student_2_vs_Student_4,sw_Student_2_vs_Student_5,sw_Student_3_vs_Student_4,sw_Student_3_vs_Student_5,sw_Student_4_vs_Student_5,teacher_vs_students_mean,teacher_vs_students_std
134,1,330.0,60.0,False,0.672855307335632,0.043939662381941275,0.06164672251635036,0.29551336444790477,0.2513675777260374,0.03680411067359956,0.6669884275146124,0.6731721420755183,0.6775250510592524,0.676404150405747,0.6641857564511537,0.07745463458561623,0.31307636080901735,0.269570521870634,0.034455590345508734,0.2513128619452482,0.20987535532096108,0.06953247919534673,0.050309714382569995,0.30728907078119794,0.2616060742043228,0.2270211241802442,0.22401714303978823
135,1,330.0,90.0,False,0.6021801770973957,0.026276115428077097,0.0635811453058172,0.07121404513064719,0.04679458327366096,0.03205915141017616,0.6169264961263513,0.6031351084600174,0.6513026768906792,0.6325743575404286,0.6176432594231133,0.060841561266888944,0.05905829942036825,0.03352769975279013,0.026552176039295605,0.08941094579032126,0.06502914758446052,0.04178527746578828,0.03218896651392054,0.059590326352638084,0.03578393025465051,0.14035086960762902,0.20714436383373624
136,1,330.0,120.0,False,1.2241297474503194,0.09817789230637614,0.11161567694522384,0.31595545711653356,0.29196762033850254,0.05166873441115272,1.267812418156124,1.27446541795597,1.1839254296887902,1.1793879263915166,1.2655080302617057,0.022176593844646524,0.3880093925141979,0.3708755574161153,0.08503764478639778,0.39517794492098146,0.37865562630797356,0.08978462645860075,0.03745290974329597,0.31790067132588157,0.2970618278967663,0.3489191880946847,0.40370484223625924
137,1,330.0,150.0,False,1.223885200461923,0.10419714062903107,0.0761479541147006,0.6129413630513681,0.5683612493758212,0.09186366958273158,1.1818584975863462,1.2040935230470404,0.9811873337133055,0.9916659587559065,1.195037318304159,0.0667980285842478,0.5177761805931498,0.472496543042382,0.07777596982981735,0.572076711428489,0.5261500147936854,0.05967675996018429,0.07831385035355626,0.5364180009220303,0.4890516710101,0.44623276286926256,0.4137187098165748
138,1,330.0,180.0,False,1.1731737088605965,0.10772421633050075,0.06758407589384954,0.41363510988309765,0.3916107079869201,0.09805493443587213,1.1740128255323428,1.2082949919932164,1.0427443955324776,1.0563620391581572,1.1857467108882798,0.07993320465165044,0.3981004606224028,0.36723440217872605,0.05004028448944932,0.4477427036651565,0.42227294404500737,0.06594934737067273,0.0863802612610683,0.4015044714548939,0.37437485656815805,0.37529712556513944,0.3832946628510672
139,1,330.0,210.0,False,0.9044834335958776,0.059700648978970164,0.051696954008270214,0.20505872537285647,0.17515820729634668,0.06599405426751745,0.896592787801701,0.932922575006089,0.8554535008878559,0.8614248632208685,0.9286125796027225,0.0819389028145665,0.22869944444846754,0.1917046148214623,0.08992284585292154,0.23693626414231378,0.208276544604519,0.09078324128825241,0.0649856664692563,0.18845505216274086,0.15667393898536303,0.24368200391997308,0.30142058202739
140,1,330.0,240.0,False,0.6148746131741881,0.11632809977148986,0.08007881764100458,0.15942757488716658,0.16656560743848248,0.06383139451089068,0.5884535414313428,0.6376424405245472,0.5690639475583984,0.5736875394818951,0.6271185461778482,0.09072101932715133,0.05568887613617314,0.06772578796172521,0.08532069630979297,0.13744470189297814,0.1499039872052153,0.05073738895560288,0.045816286311503945,0.13423257898483107,0.1434281604325488,0.20018435123720368,0.18921270527140097
141,1,330.0,270.0,False,0.34933251188335757,0.06917809626842897,0.10219830911539114,0.15471131375623492,0.1301518368634923,0.040476753250743264,0.31860050543731866,0.37016222545908584,0.34203615098743,0.3302728705584544,0.3386993477253899,0.07231737594742238,0.1653237290417091,0.14946669129152454,0.06929788800907168,0.16615865142895186,0.16944387328553642,0.08931082751780084,0.06775813605426122,0.14827663018746048,0.1250257024061297,0.1410081368562747,0.10039671150564038
142,1,330.0,300.0,False,0.555926885695385,0.19325079355979036,0.23684634307720406,0.2533915388446346,0.320621119281684,0.13192170062582415,0.3930331225695589,0.6199079401188583,0.5783827306563492,0.6193609287131234,0.4953013020835766,0.2623409732705646,0.2382370645363886,0.30635293074839065,0.11654932350534815,0.12820749698852008,0.16667831953155304,0.170964814421655,0.08030597916612583,0.15917281048310347,0.22695961010555837,0.28199306351408704,0.13526809407164034
143,1,330.0,330.0,True,0.8944322701574194,0.08764134895173037,0.11282575757692459,0.2210005481394184,0.24000862642395426,0.15790609648931098,0.908759393458299,0.9221463434403097,0.8105052991035572,0.8322044591198017,1.0022903390253872,0.05094341027596109,0.16359578410916548,0.1817839350340153,0.10966688694369316,0.1878134391200034,0.2045182743256081,0.10514992889831384,0.030348477395137984,0.2071423950725666,0.20609543830772187,0.28563577462312634,0.27757061785992665
144,2,0.0,0.0,True,0.611936792085535,0.08495250429743395,0.14329142945577833,0.3000802372644111,0.3061865250329119,0.09089074305062494,0.537202816528758,0.5755268303845373,0.46582579791143863,0.43449738791030046,0.5661920642849136,0.12121127256839404,0.26453290426979253,0.26830526616198,0.060479106323697636,0.17183053349819907,0.18260539123546937,0.07061742236381868,0.04881829276585634,0.21755185160628046,0.22287331050390505,0.2562230385311159,0.18274480862932194
