trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Ablated_1,sw_Healthy_vs_Student_0,sw_Healthy_vs_Student_1,sw_Ablated_1_vs_Student_0,sw_Ablated_1_vs_Student_1,sw_Student_0_vs_Student_1,teacher_vs_students_mean,teacher_vs_students_std
115,1,270.0,210.0,False,0.5731692648647686,0.36009414869725076,0.6326597139210897,0.8248785674376422,0.09921466657425063,0.8278520266334701,0.521974375827703,0.11701476925039787
116,1,270.0,240.0,False,0.4226623413209153,0.29349704318117964,0.43988518128658394,0.6271537228937143,0.030977459911476764,0.6371964413443737,0.38534818859622627,0.06532805032889927
117,1,270.0,270.0,True,0.34235767559117936,0.3828900923165979,0.30162724669711855,0.6446568575760172,0.07745345305243731,0.618270818488646,0.34229167153496526,0.03317545063190964
118,1,270.0,300.0,False,0.32509482884574037,0.3691337143994734,0.31598189454808434,0.5068514739018949,0.09472508214644856,0.5266643062237888,0.33673681259776606,0.023208200097385855
119,1,270.0,330.0,False,1.3680101955568973,0.4244120176796631,1.2973135923308623,1.1262623819759032,0.14046919952499576,1.0563496436545208,1.0299119351891408,0.42912477983675346
120,1,300.0,0.0,False,1.9496497010884304,0.9936435506379901,1.9906352046374027,1.1771138503235865,0.1327253335917782,1.252724744051653,1.644642818787941,0.46062999484338074
121,1,300.0,30.0,False,1.8384760812606178,1.1440871741781662,1.9092893060128093,0.7513148462104509,0.2249248533368759,0.825778760181539,1.6306175204838642,0.34524142432719757
122,1,300.0,60.0,False,1.7459324698128889,0.835310197185428,1.784334891441294,0.9198130990433984,0.17294110277854452,0.9578881602259928,1.4551925194798703,0.4386032805900982
123,1,300.0,90.0,False,1.5983140097253399,0.6501791738884051,1.6732895275573878,1.030596247046323,0.10970232354680952,1.1025035266916798,1.307260903723711,0.4656340707974195
124,1,300.0,120.0,False,1.8438451137933607,1.276588677874857,1.8001810378556837,1.143640012772654,0.08414178377555008,1.1175321939440312,1.6402049431746335,0.25773271577972795
125,1,300.0,150.0,False,1.4699387682826572,1.0002422190315063,1.5129592067399562,1.378121428749293,0.09081947761279001,1.4320519752887697,1.32771339801804,0.23222219149109086
126,1,300.0,180.0,False,0.9551515946330266,0.8151497791239631,0.9817229539127843,1.2330909933095677,0.09721581679960273,1.249629011937143,0.9173414425565913,0.07307010943762235
127,1,300.0,210.0,False,0.6799592248306485,0.4048616814170909,0.6735235043343497,0.851737019000738,0.07099274278392081,0.8441300790487929,0.586114803527363,0.12819223931428803
128,1,300.0,240.0,False,0.5124954917152956,0.21230022948437174,0.5342931340721859,0.6568595743051215,0.0389021563041471,0.6810451011026064,0.4196962850906178,0.1469209021068855
129,1,300.0,270.0,False,0.2717469655460351,0.4076027651042139,0.2911324390112442,0.5463904393301087,0.04993837305303319,0.5721293065862392,0.32349405655383107,0.05999808489097805
130,1,300.0,300.0,True,0.24088024291621848,0.5035797650045835,0.11144683180196366,0.41503792976869736,0.1993843396313075,0.5128192724129238,0.28530227990758855,0.16314011841230133
131,1,300.0,330.0,False,1.0657842040950827,0.705603186812079,1.3491848210694997,0.6355997870962887,0.3342748266459894,0.8337938182629822,1.0401907373255537,0.2633636258665008
132,1,330.0,0.0,False,1.761969969584296,0.8336987189119784,1.768724529625111,1.130150261310525,0.054248416635295185,1.1314651199319548,1.4547977393737952,0.43919198606403514
133,1,330.0,30.0,False,1.572492635898133,0.934369152079799,1.5958443836498486,0.7308321489197545,0.12056480001137362,0.7363882965839106,1.3675687238759269,0.3064666678819807
134,1,330.0,60.0,False,1.6425443744922912,1.0028245902985855,1.6348744593838673,0.7076422939333494,0.08749670477096283,0.6977224725962163,1.4267478080582479,0.299775335672369
135,1,330.0,90.0,False,1.7341449645960094,1.5475346540971087,1.7386965379801642,0.638848824294239,0.02526818062812311,0.6443570112343047,1.673458718891094,0.08906114669427112
136,1,330.0,120.0,False,1.7128113671396767,1.4594367314168744,1.7296408270985144,1.2384133334440683,0.06178111579035318,1.2613737086657624,1.633962975218355,0.12359979776741
137,1,330.0,150.0,False,1.5200280804625423,0.4257906082845305,1.50129193336076,1.255887915678297,0.07205910119808212,1.2410143875177564,1.1490368740359442,0.5114695373754455
138,1,330.0,180.0,False,1.28802656578093,0.2583300757437738,1.285903224273512,1.1570230622419486,0.1131990579624873,1.1499648164684817,0.9440866219327386,0.4849038788774208
139,1,330.0,210.0,False,0.9347950740395843,0.14311593410168444,0.9573261218438375,0.9190768820180331,0.06845800576160764,0.9333104199865996,0.6784123766617021,0.37862349204440293
140,1,330.0,240.0,False,0.6450839586496604,0.26809559612335493,0.6162481208902718,0.5411398817738964,0.07981703326657216,0.5322197364445637,0.5098092252210957,0.171322279643798
141,1,330.0,270.0,False,0.4049565366537269,0.253936840514057,0.39414827607766223,0.3509666245581805,0.04145157210386948,0.333488512706512,0.3510138844151487,0.06878550701807705
142,1,330.0,300.0,False,0.7685128919267321,0.3925604952140034,0.6920936681256816,0.5694973500328688,0.1915046987191835,0.42774613820614715,0.6177223517554724,0.16224132369711805
143,1,330.0,330.0,True,1.3858662686761276,0.6694337591973059,1.397604918356454,0.9230038100435549,0.09041431774556338,0.9307837935289849,1.1509683154099626,0.3405300726752039
144,2,0.0,0.0,True,1.531563470763392,1.0036508001264524,1.4586737248083659,0.6076067204471477,0.07884588708943624,0.5382574986733037,1.3312959985660702,0.23358333389713318
